Feature,rank,C_VISUAL_PATH,C_NAME,MOD,key_for_search,lab_low,lab_high,raw_text,ref_link
KUH|COMPONENT_ID:2006#@Labs|Aggregate:Median,2,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Electrolytes - single valence (LP19403-2)\Anion gap (LP30809-5)\Anion gap | Bld-Ser-Plas (LP50266-3)\Anion Gap SerPl-sCnc (33037-3)\ANION GAP(#2006),ANION GAP(#2006),@Labs|Aggregate:Median,anion gap,8,16,"The normal value for the serum anion gap is 8-16 mEq/L. However, there are always unmeasurable anions, so an anion gap of less than 11 mEq/L using any of the equations listed in Description is considered normal. For the urine anion gap, the most prominently unmeasured anion is ammonia.",https://emedicine.medscape.com/article/2087291-overview
KUH|COMPONENT_ID:2004#MMOL/L@Labs|Aggregate:Median,3,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Electrolytes - single valence (LP19403-2)\Chloride (LP15483-8)\Chloride | Bld-Ser-Plas (LP46433-6)\Chloride SerPl-sCnc (2075-0)\CHLORIDE(#2004),CHLORIDE(#2004),@Labs|Aggregate:Median,chloride,96,106,"The normal range for blood chloride is between 96 and 106 milliequivalents of chloride per liter of blood (mEq/L). A chloride level that's above normal means there's too much chloride in your blood, which is called hyperchloremia.",https://www.healthline.com/health/chloride-test-blood
KUH|COMPONENT_ID:2007#MG/DL@Labs|Aggregate:Median,4,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Renal function (LP31398-8)\Urea nitrogen (LP14492-0)\Urea Nitrogen | Bld-Ser-Plas (LP41307-7)\BUN SerPl-mCnc (3094-0)\BLD UREA NITROGEN(#2007),BLD UREA NITROGEN(#2007),@Labs|Aggregate:Median,bun,7,20,"In general, around 7 to 20 mg/dL (2.5 to 7.1 mmol/L) is considered normal. But normal ranges may vary, depending on the reference range used by the lab, and your age. Ask your doctor to explain your results. Urea nitrogen levels tend to increase with age.",https://www.mayoclinic.org/tests-procedures/blood-urea.../pac-20384821
KUH|COMPONENT_ID:2024#MG/DL@Labs|Aggregate:Median,11,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Liver function (excluding enzymes) (LP31397-0)\Bilirubin (LP15448-1)\Bilirubin | Bld-Ser-Plas (LP43561-7)\Bilirub SerPl-mCnc (1975-2)\TOTAL BILIRUBIN(#2024),TOTAL BILIRUBIN(#2024),@Labs|Aggregate:Median,total bilirubin,0.1,1.2,It is normal to have some bilirubin in the blood. A normal level is: Direct (also called conjugated) bilirubin: less than 0.3 mg/dL (less than 5.1 µmol/L) Total bilirubin: 0.1 to 1.2 mg/dL (1.71 to 20.5 µmol/L),https://medlineplus.gov/ency/article/003479.htm
KUH|COMPONENT_ID:2012#MG/DL@Labs|Aggregate:Last,12,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Sugars/Sugar metabolism (LP31399-6)\Glucose (LP14635-4)\Glucose | Bld-Ser-Plas (LP42107-0)\Glucose Bld Strip.auto-mCnc (2340-8)\POC GLUCOSE(#2012),POC GLUCOSE(#2012),@Labs|Aggregate:Last,glucose,3.9,7.1,"The normal blood glucose level (tested while fasting) for non-diabetics, should be between 3.9 and 7.1 mmol/L (70 to 130 mg/dL). The mean normal blood glucose level in humans is about 5.5 mmol/L (100 mg/dL); however, this level fluctuates throughout the day.",https://en.wikipedia.org/wiki/Blood_sugar_level
KUH|COMPONENT_ID:2002#MMOL/L@Labs|Aggregate:Median,14,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Electrolytes - single valence (LP19403-2)\Potassium (LP15098-4)\Potassium | Bld-Ser-Plas (LP42189-8)\Potassium SerPl-sCnc (2823-3)\POTASSIUM(#2002),POTASSIUM(#2002),@Labs|Aggregate:Median,potassium,3.5,5,"The normal potassium level in the blood is 3.5-5.0 milliEquivalents per liter (mEq/L). Potassium levels between 5.1 mEq/L to 6.0 mEq/L are considered to be mild hyperkalemia. Potassium levels of 6.1 mEq/L to 7.0 mEq/L are moderate hyperkalemia, and levels above 7 mEq/L reflect severe hyperkalemia.",https://www.emedicinehealth.com/hyperkalemia/article_em.htm
KUH|COMPONENT_ID:2198#MCU/ML@Labs|Aggregate:Last,15,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Endocrine (LP31396-2)\Pituitary Hormones- (LP31660-1)\Thyrotropin (LP14487-0)\Thyrotropin | Bld-Ser-Plas (LP41619-5)\TSH SerPl-aCnc (3016-3)\TSH(#2198),TSH(#2198),@Labs|Aggregate:Last,tsh,0.4,4,"The normal range of TSH levels is 0.4 to 4.0 milli-international units per liter. If you're already being treated for a thyroid disorder, the normal range is 0.5 to 3.0 milli-international units per liter. A value above the normal range usually indicates that the thyroid is underactive. This indicates hypothyroidism.",https://www.healthline.com/health/tsh
KUH|COMPONENT_ID:2065#U/L@Labs|Aggregate:Median,18,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Enzymes (see also Inborn errors metabolism lysosomal) (LP31392-1)\Alanine aminotransferase (LP15333-5)\Alanine Aminotransferase | Bld-Ser-Plas (LP44699-4)\ALT SerPl-cCnc (1742-6)\ALT(#2065),ALT(#2065),@Labs|Aggregate:Median,alt,10,40,Normal levels of AST and ALT may slightly vary depending on the individual laboratory's reference values. Typically the range for normal AST is reported between 10 to 40 units per liter and ALT between 7 to 56 units per liter. Mild elevations are generally considered to be 2-3 times higher than the normal range.,https://www.emedicinehealth.com/liver_blood_tests/article_em.htm
KUH|COMPONENT_ID:2017#MG/DL@Labs|Aggregate:Median,20,"Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Mineral, bone, joint, connective tissue (LP31413-5)\Calcium (LP15257-6)\Calcium | Bld-Ser-Plas (LP42656-6)\Calcium SerPl-mCnc (17861-6)\CALCIUM(#2017)",CALCIUM(#2017),@Labs|Aggregate:Median,calcium,8.5,10.2,"The corrected total serum calcium concentration is normally 8.5-10.2 mg/dL, but there is no sure means of predicting the serum calcium level, for either hypocalcemia or hypercalcemia, at which symptoms will occur. The rapidity of change, as well as the absolute serum calcium concentration, impacts symptom development.",https://emedicine.medscape.com/article/2087447-overview
KUH|COMPONENT_ID:2064#U/L@Labs|Aggregate:Median,22,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Enzymes (see also Inborn errors metabolism lysosomal) (LP31392-1)\Aspartate aminotransferase (LP15426-7)\Aspartate Aminotransferase | Bld-Ser-Plas (LP45656-3)\AST SerPl-cCnc (1920-8)\AST(#2064),AST(#2064),@Labs|Aggregate:Median,ast,10,40,Normal levels of AST and ALT may slightly vary depending on the individual laboratory's reference values. Typically the range for normal AST is reported between 10 to 40 units per liter and ALT between 7 to 56 units per liter. Mild elevations are generally considered to be 2-3 times higher than the normal range.,https://www.emedicinehealth.com/liver_blood_tests/article_em.htm
